PackID,Screen,Section,Pack Name,Still Available,Gem Cost,$USD Cost,Gem Value,Gem Value / $,Gem,Notes
179,Adventure,Underwater Adventure - Gift Pack,Bomb Pack I,FALSE,,$2.99,"6,360","2,127",360,
180,Adventure,Underwater Adventure - Gift Pack,Flashlight Pack I,FALSE,,$2.99,"6,360","2,127",360,
181,Adventure,Underwater Adventure - Gift Pack,Jellyfish Pack II,FALSE,,$4.99,"10,600","2,124",600,
105,Adventure,Sale Gift,Wishing Pack 1,FALSE,,$4.99,"7,940","1,591",900,
108,Adventure,Sale Gift,Contract Proof Special Offer 1 Older,FALSE,,$4.99,"7,900","1,583",600,
109,Adventure,Sale Gift,Contract Proof Special Offer 2 Older,FALSE,,$9.99,"15,800","1,582","1,200",
127,Adventure,Sale Gift,Contract Proof Special Offer 3 Old,FALSE,,$99.99,"106,000","1,060","12,000",
192,Adventure,Egg Celebration - Gift Pack,Egg Gift Pack I,FALSE,,$0.99,"3,577","3,613",120,
206,Adventure,Dungeon Up fund,Dungeon Up fund,FALSE,,$9.99,"24,000","2,402","9,600",
25,Shop,Pack Shop - Daily,Dungeon Pack,TRUE,,$0.99,"2,200","2,222",0,
135,Adventure,Growth Fund,Tower Challenge Fund 100+,TRUE,,$9.99,"22,000","2,202","22,000",
187,Adventure,Underwater Adventure - Gift Pack,Purple Sky Pack,FALSE,,$99.99,"182,000","1,820","12,000",
144,Adventure,Spring Festival - Spring Treasure Hunt Shop,Ticket V (LNY),FALSE,,$99.99,"133,000","1,330","12,000",
198,Adventure,Egg Celebration - Gift Pack,Refresh Ticket Gift Pack,FALSE,,$4.99,"10,320","2,068",600,
140,Adventure,Spring Festival - Spring Treasure Hunt Shop,Ticket I (LNY),FALSE,,$4.99,"6,600","1,323",600,
188,Adventure,Underwater Adventure - Gift Pack,Peerless Sword Pack,FALSE,,$99.99,"182,000","1,820","12,000",
189,Adventure,Underwater Adventure - Gift Pack,Magic Artifact Pack,FALSE,,$99.99,"182,000","1,820","12,000",
50,Adventure,Privilege Card,Ad-Free Card (1 Yr),TRUE,,$9.99,"20,650","2,067","20,650",
182,Adventure,Underwater Adventure - Gift Pack,Jellyfish Pack III,FALSE,,$9.99,"17,200","1,722","1,200",
183,Adventure,Underwater Adventure - Gift Pack,Bomb Pack II,FALSE,,$9.99,"17,200","1,722","1,200",
54,Adventure,Sale Gift,Pet Special Offer 1 Old,FALSE,,$4.99,"6,500","1,303",0,
55,Adventure,Sale Gift,Pet Special Offer 2 Old,FALSE,,$9.99,"13,000","1,301",0,
193,Adventure,Egg Celebration - Gift Pack,Egg Gift Pack II,FALSE,,$4.99,"10,314","2,067",600,
184,Adventure,Underwater Adventure - Gift Pack,Jellyfish Pack IV,FALSE,,$19.99,"32,400","1,621","2,400",
36,Shop,Pack Shop - Monthly,Chest Monthly Pack,TRUE,,$29.99,"60,000","2,001","6,000",
185,Adventure,Underwater Adventure - Gift Pack,Flashlight Pack II,FALSE,,$19.99,"32,400","1,621","2,400",
56,Adventure,Sale Gift,Pet Special Offer 3 Old,FALSE,,$19.99,"25,000","1,251",0,
72,Adventure,Flash Sale,Fearless Pack,TRUE,,$99.99,"194,400","1,944","12,000",
149,Adventure,Sale Gift,Selectable S Epic Special Offer 3,TRUE,,$99.99,"176,234","1,763","12,000",
194,Adventure,Egg Celebration - Gift Pack,Egg Gift Pack III,FALSE,,$9.99,"17,655","1,767","1,200",
94,Adventure,Chest Growth,Chest Special Pack I,TRUE,,$4.99,"8,800","1,764",600,
195,Adventure,Egg Celebration - Gift Pack,Egg Gift Pack IV,FALSE,,$19.99,"33,591","1,680","2,400",
67,Adventure,Build Growth,Build Growth Pack III,TRUE,,$19.99,"32,400","1,621","2,400",
148,Adventure,Sale Gift,Selectable S Epic Special Offer 2,TRUE,,$49.99,"80,112","1,603","6,000",
126,Adventure,Sale Gift,Contract Proof Special Offer 2 Old,FALSE,,$49.99,"53,000","1,060","6,000",
84,Adventure,Winter Fest - Fishing Pack,Bait Pack 1,FALSE,,$4.99,"6,600","1,323",600,
186,Adventure,Underwater Adventure - Gift Pack,Jellyfish Pack V,FALSE,,$49.99,"71,000","1,420","6,000",
141,Adventure,Spring Festival - Spring Treasure Hunt Shop,Ticket II (LNY),FALSE,,$9.99,"11,700","1,171","1,200",
196,Adventure,Egg Celebration - Gift Pack,Egg Gift Pack V,FALSE,,$49.99,"78,677","1,574","6,000",
65,Adventure,Build Growth,Build Growth Pack I,TRUE,,$4.99,"7,800","1,563",600,
66,Adventure,Build Growth,Build Growth Pack II,TRUE,,$9.99,"15,600","1,562","1,200",
136,Equip,Adventurer,Panda Hero,TRUE,,$19.99,"30,000","1,501",0,
197,Adventure,Egg Celebration - Gift Pack,Egg Gift Pack VI,FALSE,,$99.99,"149,354","1,494","12,000",
70,Adventure,Build Growth,Ever Stone Special I,TRUE,,$29.99,"43,600","1,454","3,600",
80,Shop,Equipment Shop - Chapter,Chapter 70 Pack,TRUE,,$99.99,"144,000","1,440","12,000",
31,Shop,Pack Shop - Weekly,Weekly Pickaxe Pack,TRUE,,$19.99,"28,600","1,431","3,600",
190,Adventure,Underwater Adventure - Gift Pack,Jellyfish Pack VI,FALSE,,$99.99,"132,000","1,320","12,000",
147,Adventure,Sale Gift,Selectable S Epic Special Offer 1,TRUE,,$29.99,"40,003","1,334","3,600",
88,Adventure,Winter Fest - Fishing Pack,Bait Pack 5,FALSE,,$99.99,"130,000","1,300","12,000",
161,Adventure,Pet Growth,Pet Growth Pack I,TRUE,,$4.99,"6,600","1,323",600,
95,Adventure,Chest Growth,Chest Special Pack II,TRUE,,$9.99,"13,200","1,321","1,200",
162,Adventure,Pet Growth,Pet Growth Pack II,TRUE,,$9.99,"13,200","1,321","1,200",
96,Adventure,Chest Growth,Chest Special Pack III,TRUE,,$19.99,"26,400","1,321","2,400",
68,Adventure,Build Growth,Build Growth Pack IV,TRUE,,$49.99,"66,000","1,320","6,000",
92,Adventure,Sale Gift,Winter Snow Pack 3,FALSE,,$49.99,"51,000","1,020","6,000",
85,Adventure,Winter Fest - Fishing Pack,Bait Pack 2,FALSE,,$9.99,"12,200","1,221","1,200",
110,Adventure,Sale Gift,Contract Proof Special Offer 3 Older,FALSE,,$19.99,"18,700",935,"2,400",
69,Adventure,Build Growth,Build Growth Pack V,TRUE,,$99.99,"132,000","1,320","12,000",
71,Adventure,Build Growth,Ever Stone Special II,TRUE,,$99.99,"132,000","1,320","12,000",
129,Adventure,Sale Gift,Pet Special Offer 1,TRUE,,$19.99,"26,000","1,301",0,
130,Adventure,Sale Gift,Pet Special Offer 2,TRUE,,$49.99,"65,000","1,300",0,
90,Adventure,Sale Gift,Winter Snow Pack 1,FALSE,,$4.99,"4,400",882,900,
200,Adventure,Egg Celebration - Gift Pack,Mysterious Egg Gift Pack,FALSE,,$99.99,"128,434","1,284","12,000",
91,Adventure,Sale Gift,Winter Snow Pack 2,FALSE,,$14.99,"13,200",881,"1,800",
142,Adventure,Spring Festival - Spring Treasure Hunt Shop,Ticket III (LNY),FALSE,,$29.99,"27,600",920,"3,600",
137,Adventure,Sale Gift,Warm Spring Pack 1 (LNY),FALSE,,$4.99,"4,500",902,900,
143,Adventure,Spring Festival - Spring Treasure Hunt Shop,Ticket IV (LNY),FALSE,,$49.99,"45,000",900,"6,000",
201,Adventure,Egg Celebration - Gift Pack,Lava Behemoth Gift Pack,FALSE,,$99.99,"128,434","1,284","12,000",
202,Adventure,Egg Celebration - Gift Pack,Mecha Titan Gift Pack,FALSE,,$99.99,"128,434","1,284","12,000",
131,Adventure,Sale Gift,Pet Special Offer 3,TRUE,,$99.99,"125,000","1,250",0,
14,Shop,Equipment Shop - Chapter,Chapter 9 Pack,TRUE,,$19.99,"24,850","1,243","2,400",
15,Shop,Equipment Shop - Chapter,Chapter 6 Pack,TRUE,,$14.99,"18,633","1,243","1,800",
199,Adventure,Egg Celebration - Gift Pack,Color Refresh Gift Pack,FALSE,,$9.99,"12,400","1,241","1,200",
12,Shop,Equipment Shop - Chapter,Chapter 15 Pack,TRUE,,$29.99,"37,200","1,240","3,600",
5,Shop,Equipment Shop - Chapter,Chapter 40 Pack,TRUE,,$49.99,"62,000","1,240","6,000",
97,Adventure,Chest Growth,Chest Special Pack IV,TRUE,,$49.99,"60,000","1,200","6,000",
16,Shop,Equipment Shop - Chapter,Chapter 5 Pack,TRUE,,$9.99,"11,917","1,193","1,200",
17,Shop,Equipment Shop - Chapter,Chapter 4 Pack,TRUE,,$9.99,"11,917","1,193","1,200",
1,Shop,Equipment Shop - Chapter,Chapter 60 Pack,TRUE,,$99.99,"119,000","1,190","12,000",
13,Shop,Equipment Shop - Chapter,Chapter 12 Pack,TRUE,,$25.99,"30,270","1,165","3,200",
7,Shop,Equipment Shop - Chapter,Chapter 30 Pack,TRUE,,$49.99,"58,000","1,160","6,000",
20,Shop,Equipment Shop - Chapter,Chapter 1 Pack,TRUE,,$2.99,"3,463","1,158",360,
145,Adventure,Spring Festival - Spring Treasure Hunt Shop,Ticket VI (LNY),FALSE,,$99.99,"84,000",840,"12,000",
151,Adventure,Big Adventure - Sale,Adventure Log Pack I,TRUE,,$4.99,"5,600","1,122",600,
170,Adventure,Mystic Sea - Sale,Shell Pack I,TRUE,,$4.99,"5,600","1,122",600,
125,Adventure,Sale Gift,Contract Proof Special Offer 1 Old,FALSE,,$19.99,"25,900","1,296","2,400",
23,Shop,Value Pack,Equipment Enhancement Pack I,TRUE,,$9.99,"11,200","1,121","1,200",
152,Adventure,Big Adventure - Sale,Adventure Log Pack II,TRUE,,$9.99,"11,200","1,121","1,200",
171,Adventure,Mystic Sea - Sale,Shell Pack II,TRUE,,$9.99,"11,200","1,121","1,200",
163,Adventure,Pet Growth,Pet Growth Pack III,TRUE,,$19.99,"22,400","1,121","2,400",
86,Adventure,Winter Fest - Fishing Pack,Bait Pack 3,FALSE,,$29.99,"30,600","1,020","3,600",
24,Shop,Value Pack,Equipment Enhancement Pack II,TRUE,,$29.99,"33,600","1,120","3,600",
87,Adventure,Winter Fest - Fishing Pack,Bait Pack 4,FALSE,,$49.99,"45,000",900,"6,000",
164,Adventure,Pet Growth,Pet Growth Pack IV,TRUE,,$49.99,"56,000","1,120","6,000",
35,Shop,Pack Shop - Weekly,Weekly Ever Stone Pack,TRUE,,$99.99,"112,000","1,120","12,000",
98,Adventure,Chest Growth,Chest Special Pack V,TRUE,,$99.99,"112,000","1,120","12,000",
165,Adventure,Pet Growth,Pet Growth Pack V,TRUE,,$99.99,"112,000","1,120","12,000",
18,Shop,Equipment Shop - Chapter,Chapter 3 Pack,TRUE,,$4.99,"5,567","1,116",600,
19,Shop,Equipment Shop - Chapter,Chapter 2 Pack,TRUE,,$4.99,"5,567","1,116",600,
156,Adventure,Treasure Team - Sale,Compass Pack I,TRUE,,$4.99,"5,415","1,085",600,
157,Adventure,Treasure Team - Sale,Compass Pack II,TRUE,,$9.99,"10,831","1,084","1,200",
30,Shop,Pack Shop - Daily,Pet Egg Pack,TRUE,,$4.99,"5,400","1,082",600,
9,Shop,Equipment Shop - Chapter,Chapter 24 Pack,TRUE,,$49.99,"54,000","1,080","6,000",
81,Adventure,Flash Sale,Revitalize I,TRUE,,$9.99,"10,487","1,050","1,200",
10,Shop,Equipment Shop - Chapter,Chapter 21 Pack,TRUE,,$49.99,"52,000","1,040","6,000",
29,Shop,Pack Shop - Daily,Chest Pack,TRUE,,$9.99,"9,400",941,"1,200",
22,Shop,Value Pack,Little Elle Pack II,TRUE,,$4.99,"4,400",882,600,
33,Shop,Pack Shop - Weekly,Weekly Chest Pack,TRUE,,$29.99,"26,400",880,"2,400",
89,Adventure,Winter Fest - Fishing Pack,Bait Pack 6,FALSE,,$99.99,"81,000",810,"12,000",
153,Adventure,Big Adventure - Sale,Adventure Log Pack III,TRUE,,$19.99,"17,400",870,"2,400",
172,Adventure,Mystic Sea - Sale,Shell Pack III,TRUE,,$19.99,"17,400",870,"2,400",
166,Adventure,Sale Gift,Full of Affection Pack 1,FALSE,,$2.99,"2,280",763,360,
82,Adventure,Winter Fest - Fishing Pack,Fishing Master I,FALSE,,$4.99,"3,600",721,600,
99,Adventure,Capy Gatcha,Silver Coin Pack I,TRUE,,$0.99,840,848,120,
158,Adventure,Treasure Team - Sale,Compass Pack III,TRUE,,$19.99,"16,846",843,"2,400",
3,Shop,Equipment Shop - Chapter,Chapter 50 Pack,TRUE,,$49.99,"42,000",840,"6,000",
4,Shop,Equipment Shop - Chapter,Chapter 45 Pack,TRUE,,$49.99,"42,000",840,"6,000",
167,Adventure,Sale Gift,Full of Affection Pack 2,FALSE,,$4.99,"3,480",697,600,
8,Shop,Equipment Shop - Chapter,Chapter 27 Pack,TRUE,,$49.99,"42,000",840,"6,000",
11,Shop,Equipment Shop - Chapter,Chapter 18 Pack,TRUE,,$49.99,"42,000",840,"6,000",
93,Shop,Equipment Shop - Chapter,Chapter 80 Pack,TRUE,,$49.99,"42,000",840,"6,000",
119,Adventure,Equipment Shop - Chapter,Chapter 90 Pack,TRUE,,$49.99,"42,000",840,"6,000",
120,Adventure,Equipment Shop - Chapter,Chapter 100 Pack,TRUE,,$49.99,"42,000",840,"6,000",
121,Adventure,Equipment Shop - Chapter,Chapter 110 Pack,TRUE,,$49.99,"42,000",840,"6,000",
27,Shop,Pack Shop - Daily,Key Pack,TRUE,,$4.99,"4,060",814,600,
83,Adventure,Winter Fest - Fishing Pack,Fishing Master II,FALSE,,$29.99,"18,600",620,"3,600",
6,Shop,Equipment Shop - Chapter,Chapter 35 Pack,TRUE,,$49.99,"40,000",800,"6,000",
203,Adventure,Sale Gift,Spring Egg Gift Pack 1,FALSE,,$2.99,"2,280",763,360,
26,Shop,Pack Shop - Daily,Energy Pack,TRUE,,$2.99,"2,160",722,360,
75,Adventure,Mount Growth,Mount Growth Pack I,TRUE,,$4.99,"3,600",721,600,
76,Adventure,Mount Growth,Mount Growth Pack II,TRUE,,$9.99,"7,200",721,"1,200",
77,Adventure,Mount Growth,Mount Growth Pack III,TRUE,,$19.99,"14,400",720,"2,400",
37,Shop,Pack Shop - Monthly,Pet Food Monthly Pack,TRUE,,$49.99,"36,000",720,"6,000",
204,Adventure,Sale Gift,Spring Egg Gift Pack 2,FALSE,,$4.99,"3,480",697,600,
21,Shop,Value Pack,Little Elle Pack I,TRUE,,$2.99,"2,060",689,360,
154,Adventure,Big Adventure - Sale,Adventure Log Pack IV,TRUE,,$49.99,"34,200",684,"6,000",
173,Adventure,Mystic Sea - Sale,Shell Pack IV,TRUE,,$49.99,"34,200",684,"6,000",
2,Shop,Equipment Shop - Chapter,Chapter 55 Pack,TRUE,,$49.99,"34,000",680,"6,000",
122,Adventure,Side Bar,Golden Piggy I,TRUE,,$2.99,"2,000",669,"2,000",
159,Adventure,Treasure Team - Sale,Compass Pack IV,TRUE,,$49.99,"33,092",662,"6,000",
132,Adventure,Sale Gift,Key Special Offer 1,TRUE,,$19.99,"12,400",620,"6,000",
133,Adventure,Sale Gift,Key Special Offer 2,TRUE,,$49.99,"31,000",620,"15,000",
155,Adventure,Big Adventure - Sale,Adventure Log Pack V,TRUE,,$99.99,"62,000",620,"12,000",
174,Adventure,Mystic Sea - Sale,Shell Pack V,TRUE,,$99.99,"62,000",620,"12,000",
160,Adventure,Treasure Team - Sale,Compass Pack V,TRUE,,$99.99,"60,154",602,"12,000",
100,Adventure,Capy Gatcha,Silver Coin Pack II,TRUE,,$4.99,"3,000",601,600,
123,Adventure,Side Bar,Golden Piggy II,TRUE,,$9.99,"6,000",601,"6,000",
101,Adventure,Capy Gatcha,Silver Coin Pack III,TRUE,,$9.99,"6,000",601,"1,200",
124,Adventure,Side Bar,Golden Piggy IV,TRUE,,$49.99,"30,000",600,"30,000",
169,-,When you run out of iron,Pity Meteoric Iron Pack,TRUE,,$49.99,"28,500",570,"6,000",
134,Adventure,Sale Gift,Key Special Offer 3,TRUE,,$99.99,"56,000",560,"24,000",
78,Adventure,Mount Growth,Mount Growth Pack IV,TRUE,,$49.99,"26,000",520,"6,000",
128,-,When you run out of book,Pity Book Pack,TRUE,,$49.99,"26,000",520,"6,000",
79,Adventure,Mount Growth,Mount Growth Pack V,TRUE,,$99.99,"52,000",520,"12,000",
102,Adventure,Capy Gatcha,Silver Coin Pack IV,TRUE,,$19.99,"9,600",480,"2,400",
34,Shop,Pack Shop - Weekly,Spirit Stone Weekly Pack,TRUE,,$99.99,"46,000",460,"6,000",
103,Adventure,Capy Gatcha,Silver Coin Pack V,TRUE,,$49.99,"22,800",456,"6,000",
104,Adventure,Capy Gatcha,Silver Coin Pack VI,TRUE,,$99.99,"43,200",432,"12,000",
74,Adventure,Flash Sale,Limited Stamina,TRUE,,$49.99,"19,500",390,"6,000",
28,Shop,Pack Shop - Daily,Mount Pack,TRUE,,$9.99,"3,600",360,"1,200",
32,Shop,Pack Shop - Weekly,Artifact Weekly Pack,TRUE,,$29.99,"8,400",280,"3,600",
38,Shop,Top Up - First,120,TRUE,,$0.99,240,242,240,
39,Shop,Top Up - First,600,TRUE,,$4.99,"1,200",240,"1,200",
40,Shop,Top Up - First,1800,TRUE,,$14.99,"3,600",240,"3,600",
41,Shop,Top Up - First,3600,TRUE,,$29.99,"7,200",240,"7,200",
42,Shop,Top Up - First,6000,TRUE,,$49.99,"12,000",240,"12,000",
43,Shop,Top Up - First,12000,TRUE,,$99.99,"24,000",240,"24,000",
44,Shop,Top Up,120,TRUE,,$0.99,120,121,120,
45,Shop,Top Up,600,TRUE,,$4.99,600,120,600,
46,Shop,Top Up,1800,TRUE,,$14.99,"1,800",120,"1,800",
47,Shop,Top Up,3600,TRUE,,$29.99,"3,600",120,"3,600",
48,Shop,Top Up,6000,TRUE,,$49.99,"6,000",120,"6,000",
49,Shop,Top Up,12000,TRUE,,$99.99,"12,000",120,"12,000",
150,Adventure,Flash Sale,Limited Equipment,TRUE,,$99.99,"12,000",120,"12,000",
111,Adventure,Black Market Growth,Pet Egg Pack,TRUE,"5,000",,"12,000",0,0,
112,Adventure,Black Market Growth,Chest Pack,TRUE,"10,000",,"21,000",0,0,
113,Adventure,Black Market Growth,Pet Food Pack,TRUE,"5,000",,"10,000",0,0,
114,Adventure,Black Market Growth,Refinement Pack,TRUE,"15,000",,"30,000",0,0,
115,Adventure,Black Market Growth,Ultimate Gift,TRUE,"30,000",,"55,000",0,0,
116,Adventure,Black Market Growth,Key Goodie Pack,TRUE,"2,500",,"3,200",0,0,
117,Adventure,Black Market Growth,Equipment Design Pack,TRUE,"5,000",,"10,000",0,0,
118,Adventure,Black Market Growth,Mount Pack,TRUE,"10,000",,"20,000",0,0,
207,,,,,,,0,0,0,
208,,,,,,,0,0,0,
209,,,,,,,0,0,0,
210,,,,,,,0,0,0,
211,,,,,,,0,0,0,
212,,,,,,,0,0,0,
213,,,,,,,0,0,0,
214,,,,,,,0,0,0,
215,,,,,,,0,0,0,
216,,,,,,,0,0,0,
217,,,,,,,0,0,0,
218,,,,,,,0,0,0,
219,,,,,,,0,0,0,
220,,,,,,,0,0,0,
221,,,,,,,0,0,0,
222,,,,,,,0,0,0,
223,,,,,,,0,0,0,
224,,,,,,,0,0,0,
225,,,,,,,0,0,0,
226,,,,,,,0,0,0,
227,,,,,,,0,0,0,
228,,,,,,,0,0,0,
229,,,,,,,0,0,0,
230,,,,,,,0,0,0,
231,,,,,,,0,0,0,
232,,,,,,,0,0,0,
233,,,,,,,0,0,0,
234,,,,,,,0,0,0,
235,,,,,,,0,0,0,
236,,,,,,,0,0,0,
237,,,,,,,0,0,0,
238,,,,,,,0,0,0,
239,,,,,,,0,0,0,
240,,,,,,,0,0,0,
241,,,,,,,0,0,0,
242,,,,,,,0,0,0,
243,,,,,,,0,0,0,
244,,,,,,,0,0,0,
245,,,,,,,0,0,0,
246,,,,,,,0,0,0,
247,,,,,,,0,0,0,
248,,,,,,,0,0,0,
249,,,,,,,0,0,0,
250,,,,,,,0,0,0,
251,,,,,,,0,0,0,
252,,,,,,,0,0,0,
253,,,,,,,0,0,0,
254,,,,,,,0,0,0,
255,,,,,,,0,0,0,
256,,,,,,,0,0,0,
257,,,,,,,0,0,0,
258,,,,,,,0,0,0,
259,,,,,,,0,0,0,
260,,,,,,,0,0,0,
261,,,,,,,0,0,0,
262,,,,,,,0,0,0,
263,,,,,,,0,0,0,
264,,,,,,,0,0,0,
265,,,,,,,0,0,0,
266,,,,,,,0,0,0,
267,,,,,,,0,0,0,
268,,,,,,,0,0,0,
269,,,,,,,0,0,0,
270,,,,,,,0,0,0,
271,,,,,,,0,0,0,
272,,,,,,,0,0,0,
273,,,,,,,0,0,0,
274,,,,,,,0,0,0,
275,,,,,,,0,0,0,
276,,,,,,,0,0,0,
277,,,,,,,0,0,0,
278,,,,,,,0,0,0,
279,,,,,,,0,0,0,
280,,,,,,,0,0,0,
281,,,,,,,0,0,0,
282,,,,,,,0,0,0,
283,,,,,,,0,0,0,
284,,,,,,,0,0,0,
285,,,,,,,0,0,0,
286,,,,,,,0,0,0,
287,,,,,,,0,0,0,
288,,,,,,,0,0,0,
289,,,,,,,0,0,0,
290,,,,,,,0,0,0,
291,,,,,,,0,0,0,
292,,,,,,,0,0,0,
293,,,,,,,0,0,0,
294,,,,,,,0,0,0,
295,,,,,,,0,0,0,
296,,,,,,,0,0,0,
297,,,,,,,0,0,0,
298,,,,,,,0,0,0,
299,,,,,,,0,0,0,
300,,,,,,,0,0,0,
301,,,,,,,0,0,0,
302,,,,,,,0,0,0,
303,,,,,,,0,0,0,
304,,,,,,,0,0,0,
305,,,,,,,0,0,0,
306,,,,,,,0,0,0,
307,,,,,,,0,0,0,
308,,,,,,,0,0,0,
309,,,,,,,0,0,0,
310,,,,,,,0,0,0,
311,,,,,,,0,0,0,
312,,,,,,,0,0,0,
313,,,,,,,0,0,0,
314,,,,,,,0,0,0,
315,,,,,,,0,0,0,
316,,,,,,,0,0,0,
317,,,,,,,0,0,0,
318,,,,,,,0,0,0,
319,,,,,,,0,0,0,
320,,,,,,,0,0,0,
321,,,,,,,0,0,0,
322,,,,,,,0,0,0,
323,,,,,,,0,0,0,
324,,,,,,,0,0,0,
325,,,,,,,0,0,0,
326,,,,,,,0,0,0,
327,,,,,,,0,0,0,
328,,,,,,,0,0,0,
329,,,,,,,0,0,0,
330,,,,,,,0,0,0,
331,,,,,,,0,0,0,
332,,,,,,,0,0,0,
333,,,,,,,0,0,0,
334,,,,,,,0,0,0,
335,,,,,,,0,0,0,
336,,,,,,,0,0,0,
337,,,,,,,0,0,0,
338,,,,,,,0,0,0,
339,,,,,,,0,0,0,
340,,,,,,,0,0,0,
341,,,,,,,0,0,0,
342,,,,,,,0,0,0,
343,,,,,,,0,0,0,
344,,,,,,,0,0,0,
345,,,,,,,0,0,0,
346,,,,,,,0,0,0,
347,,,,,,,0,0,0,
348,,,,,,,0,0,0,
349,,,,,,,0,0,0,
350,,,,,,,0,0,0,
351,,,,,,,0,0,0,
352,,,,,,,0,0,0,
353,,,,,,,0,0,0,
354,,,,,,,0,0,0,
355,,,,,,,0,0,0,
356,,,,,,,0,0,0,
357,,,,,,,0,0,0,
358,,,,,,,0,0,0,
359,,,,,,,0,0,0,
360,,,,,,,0,0,0,
361,,,,,,,0,0,0,
362,,,,,,,0,0,0,
363,,,,,,,0,0,0,
364,,,,,,,0,0,0,
365,,,,,,,0,0,0,
366,,,,,,,0,0,0,
367,,,,,,,0,0,0,
368,,,,,,,0,0,0,
369,,,,,,,0,0,0,
370,,,,,,,0,0,0,
371,,,,,,,0,0,0,
372,,,,,,,0,0,0,
373,,,,,,,0,0,0,
374,,,,,,,0,0,0,
375,,,,,,,0,0,0,
376,,,,,,,0,0,0,
377,,,,,,,0,0,0,
378,,,,,,,0,0,0,
379,,,,,,,0,0,0,
380,,,,,,,0,0,0,
381,,,,,,,0,0,0,
382,,,,,,,0,0,0,
383,,,,,,,0,0,0,
384,,,,,,,0,0,0,
385,,,,,,,0,0,0,
386,,,,,,,0,0,0,
387,,,,,,,0,0,0,
388,,,,,,,0,0,0,
389,,,,,,,0,0,0,
390,,,,,,,0,0,0,
391,,,,,,,0,0,0,
392,,,,,,,0,0,0,
393,,,,,,,0,0,0,
394,,,,,,,0,0,0,
395,,,,,,,0,0,0,
396,,,,,,,0,0,0,
397,,,,,,,0,0,0,
398,,,,,,,0,0,0,
399,,,,,,,0,0,0,
400,,,,,,,0,0,0,
401,,,,,,,0,0,0,
402,,,,,,,0,0,0,
403,,,,,,,0,0,0,
404,,,,,,,0,0,0,
405,,,,,,,0,0,0,
406,,,,,,,0,0,0,
407,,,,,,,0,0,0,
408,,,,,,,0,0,0,
409,,,,,,,0,0,0,
410,,,,,,,0,0,0,
411,,,,,,,0,0,0,
412,,,,,,,0,0,0,
413,,,,,,,0,0,0,
414,,,,,,,0,0,0,
415,,,,,,,0,0,0,
416,,,,,,,0,0,0,
417,,,,,,,0,0,0,
418,,,,,,,0,0,0,
419,,,,,,,0,0,0,
420,,,,,,,0,0,0,
421,,,,,,,0,0,0,
422,,,,,,,0,0,0,
